shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
4,-73.872696,40.566145,1
4,-73.871400,40.566580,2
4,-73.869750,40.567150,3
4,-73.868350,40.567620,4
4,-73.867790,40.567840,5
4,-73.867120,40.568100,6
4,-73.865330,40.568800,7
4,-73.864070,40.569310,8
4,-73.863280,40.569630,9
4,-73.862490,40.569950,10
4,-73.862380,40.569990,11
4,-73.861600,40.570330,12
4,-73.860800,40.570650,13
4,-73.860010,40.570980,14
4,-73.859210,40.571300,15
4,-73.858420,40.571630,16
4,-73.858320,40.571670,17
4,-73.857530,40.572000,18
4,-73.856730,40.572320,19
4,-73.855940,40.572660,20
4,-73.855140,40.572980,21
4,-73.854350,40.573300,22
4,-73.853560,40.573640,23
4,-73.852740,40.573960,24
4,-73.851960,40.574290,25
4,-73.851170,40.574610,26
4,-73.850360,40.574940,27
4,-73.849580,40.575260,28
4,-73.848790,40.575580,29
4,-73.847980,40.575920,30
4,-73.847140,40.576270,31
4,-73.846310,40.576600,32
4,-73.846210,40.576650,33
4,-73.845510,40.576980,34
4,-73.844700,40.577310,35
4,-73.843880,40.577590,36
4,-73.843060,40.577880,37
4,-73.842220,40.578140,38
4,-73.841390,40.578410,39
4,-73.840570,40.578690,40
4,-73.839750,40.578960,41
4,-73.838930,40.579240,42
4,-73.838100,40.579510,43
4,-73.837280,40.579790,44
4,-73.837130,40.579840,45
4,-73.836720,40.579960,46
4,-73.836280,40.580100,47
4,-73.835430,40.580320,48
4,-73.834580,40.580550,49
4,-73.833730,40.580790,50
4,-73.832950,40.581010,51
4,-73.832880,40.581030,52
4,-73.832780,40.581050,53
4,-73.832450,40.581130,54
4,-73.832030,40.581250,55
4,-73.831930,40.581280,56
4,-73.830880,40.581570,57
4,-73.830770,40.581600,58
4,-73.830110,40.581791,59
4,-73.829910,40.581850,60
4,-73.830230,40.582590,61
4,-73.830680,40.583470,62
4,-73.830910,40.583900,63
4,-73.830950,40.583980,64
4,-73.831180,40.583930,65
4,-73.831730,40.583784,66
7,-73.831271,40.584164,1
7,-73.836088,40.584060,2
7,-73.841275,40.584026,3
7,-73.852442,40.583656,4
7,-73.854829,40.583216,5
7,-73.857393,40.582270,6
7,-73.861165,40.580554,7
7,-73.867578,40.577944,8
7,-73.872139,40.576854,9
7,-73.884453,40.573922,10
7,-73.893169,40.572407,11
7,-73.904571,40.569980,12
7,-73.916883,40.566968,13
7,-73.925850,40.564361,14
7,-73.929926,40.563307,15
7,-73.934058,40.562777,16
7,-73.939040,40.562824,17
7,-73.948213,40.563561,18
7,-73.957752,40.564748,19
7,-73.971489,40.566358,20
7,-73.980729,40.565812,21
7,-73.988773,40.566021,22
7,-74.000286,40.567960,23
7,-74.006520,40.568942,24
7,-74.010761,40.569916,25
7,-74.014209,40.571927,26
7,-74.017085,40.575490,27
7,-74.024098,40.583308,28
7,-74.028538,40.588971,29
7,-74.033195,40.596223,30
7,-74.038959,40.605163,31
7,-74.041960,40.612173,32
7,-74.043721,40.618505,33
7,-74.044265,40.621926,34
7,-74.044306,40.626962,35
7,-74.043524,40.631565,36
7,-74.042660,40.635314,37
7,-74.042044,40.637307,38
7,-74.041043,40.639159,39
7,-74.039454,40.641119,40
7,-74.038306,40.642594,41
7,-74.036342,40.644463,42
7,-74.034393,40.646010,43
7,-74.031467,40.646913,44
7,-74.027312,40.646878,45
7,-74.028753,40.650586,46
7,-74.025453,40.656045,47
7,-74.023535,40.660387,48
7,-74.022420,40.666055,49
7,-74.022257,40.672397,50
7,-74.021927,40.677032,51
7,-74.021505,40.678334,52
7,-74.019526,40.680796,53
7,-74.015440,40.684568,54
7,-74.012290,40.687795,55
7,-74.010390,40.690153,56
7,-74.006031,40.698352,57
7,-74.004233,40.700243,58
7,-74.004218,40.701915,59
7,-74.003847,40.702966,60
7,-74.004681,40.703461,61
7,-74.005468,40.703515,62
7,-74.006138,40.703205,63
8,-74.006100,40.703218,1
8,-74.005464,40.703519,2
8,-74.004685,40.703455,3
8,-74.003855,40.702971,4
8,-74.004163,40.701873,5
8,-74.004188,40.700215,6
8,-74.006007,40.698349,7
8,-74.010232,40.690066,8
8,-74.019561,40.680798,9
8,-74.021249,40.678667,10
8,-74.021872,40.677126,11
8,-74.022368,40.666074,12
8,-74.023439,40.660397,13
8,-74.025251,40.656131,14
8,-74.028724,40.650525,15
8,-74.027190,40.646891,16
8,-74.031354,40.646906,17
8,-74.034479,40.645946,18
8,-74.038373,40.642601,19
8,-74.041254,40.639116,20
8,-74.044386,40.627640,21
8,-74.044666,40.621731,22
8,-74.042614,40.613028,23
8,-74.040468,40.607807,24
8,-74.037388,40.602376,25
8,-74.028476,40.589152,26
8,-74.020888,40.579963,27
8,-74.014268,40.572003,28
8,-74.010739,40.569817,29
8,-74.006474,40.568682,30
8,-73.988682,40.565954,31
8,-73.980590,40.565720,32
8,-73.971355,40.566106,33
8,-73.948083,40.563445,34
8,-73.939251,40.562744,35
8,-73.933852,40.562603,36
8,-73.929294,40.563262,37
8,-73.884949,40.573716,38
8,-73.867578,40.577870,39
8,-73.855540,40.582908,40
8,-73.850421,40.583650,41
8,-73.831224,40.584166,42
9,-74.006172,40.703064,1
9,-74.005674,40.703485,2
9,-74.000768,40.702655,3
9,-73.995785,40.703523,4
9,-73.993389,40.705562,5
9,-73.975241,40.709227,6
9,-73.970245,40.708577,7
9,-73.971855,40.712771,8
9,-73.967867,40.720738,9
9,-73.964980,40.720891,10
9,-73.966260,40.723986,11
9,-73.963611,40.731428,12
9,-73.965262,40.734396,13
9,-73.965165,40.738551,14
9,-73.961383,40.741858,15
9,-73.970570,40.744072,16
9,-73.970837,40.743669,17
12,-73.970205,40.744423,1
12,-73.970737,40.743856,2
12,-73.961386,40.741857,3
12,-73.965241,40.738571,4
12,-73.965304,40.734483,5
12,-73.963677,40.731468,6
12,-73.966524,40.724141,7
12,-73.964979,40.720902,8
12,-73.967723,40.720736,9
12,-73.971905,40.712865,10
12,-73.970255,40.708578,11
12,-73.975197,40.709187,12
12,-73.993362,40.705569,13
12,-73.995810,40.703524,14
12,-74.000718,40.702701,15
12,-74.005664,40.703553,16
12,-74.006136,40.703202,17
17,-74.006188,40.703248,1
17,-74.004298,40.703482,2
17,-74.000428,40.703162,3
17,-73.995764,40.703556,4
17,-73.998138,40.702727,5
17,-74.002453,40.697178,6
17,-74.003761,40.694120,7
17,-74.002295,40.692382,8
17,-74.006422,40.692031,9
17,-74.011448,40.684607,10
17,-74.011030,40.682993,11
17,-74.013181,40.681035,12
17,-74.011333,40.683056,13
17,-74.012579,40.683882,14
17,-74.018910,40.681596,15
17,-74.023512,40.676310,16
17,-74.022937,40.662859,17
17,-74.029667,40.650101,18
17,-74.026789,40.646618,19
17,-74.032605,40.647393,20
17,-74.038231,40.641678,21
17,-74.038136,40.639691,22
